Segmentation 0
178 176 15 
179 175 15 
179 174 15 
179 173 15 
179 172 15 
179 171 15 
179 170 15 
179 169 15 
180 169 15 
181 168 15 
182 167 15 
183 166 15 
184 165 15 
184 164 15 
185 164 15 
186 164 15 
187 164 15 
188 164 15 
189 164 15 
190 165 15 
191 164 15 
191 163 15 
191 162 15 
190 161 15 
190 160 15 
190 159 15 
190 158 15 
189 157 15 
189 156 15 
188 155 15 
187 154 15 
186 154 15 
185 154 15 
184 154 15 
184 153 15 
183 152 15 
182 152 15 
181 151 15 
180 151 15 
179 151 15 
178 150 15 
177 151 15 
176 152 15 
175 152 15 
174 153 15 
173 153 15 
172 153 15 
171 152 15 
170 152 15 
170 151 15 
170 150 15 
170 149 15 
170 148 15 
170 147 15 
171 146 15 
171 145 15 
170 144 15 
169 143 15 
168 143 15 
167 142 15 
166 142 15 
165 142 15 
164 143 15 
163 144 15 
162 144 15 
161 145 15 
161 146 15 
161 147 15 
161 148 15 
162 149 15 
162 150 15 
162 151 15 
162 152 15 
162 153 15 
161 153 15 
160 154 15 
159 155 15 
158 156 15 
157 157 15 
157 158 15 
157 159 15 
157 160 15 
158 161 15 
159 162 15 
160 162 15 
161 163 15 
162 163 15 
163 163 15 
164 163 15 
165 162 15 
166 162 15 
167 162 15 
168 162 15 
169 163 15 
170 163 15 
170 164 15 
170 165 15 
171 166 15 
171 167 15 
171 168 15 
172 169 15 
173 169 15 
174 170 15 
175 170 15 
176 171 15 
177 171 15 
177 172 15 
177 173 15 
177 174 15 
177 175 15 
178 176 15 
V
Segmentation 1
272 170 15 
273 169 15 
274 169 15 
275 168 15 
276 167 15 
276 166 15 
276 165 15 
277 164 15 
277 163 15 
276 162 15 
275 161 15 
274 161 15 
273 160 15 
272 159 15 
271 159 15 
270 159 15 
269 160 15 
268 160 15 
267 160 15 
266 160 15 
265 159 15 
264 159 15 
264 158 15 
264 157 15 
264 156 15 
264 155 15 
264 154 15 
264 153 15 
263 152 15 
262 152 15 
261 151 15 
260 151 15 
259 151 15 
258 151 15 
257 152 15 
256 152 15 
255 153 15 
254 154 15 
254 155 15 
254 156 15 
254 157 15 
254 158 15 
255 159 15 
256 159 15 
257 160 15 
258 161 15 
258 162 15 
258 163 15 
258 164 15 
258 165 15 
259 166 15 
260 166 15 
261 167 15 
262 167 15 
263 168 15 
264 169 15 
265 169 15 
266 169 15 
267 169 15 
268 169 15 
269 169 15 
270 170 15 
271 170 15 
272 170 15 
V
Segmentation 2
247 234 15 
248 233 15 
249 232 15 
249 231 15 
249 230 15 
249 229 15 
249 228 15 
249 227 15 
248 226 15 
247 225 15 
246 224 15 
246 223 15 
246 222 15 
246 221 15 
247 220 15 
248 219 15 
249 219 15 
250 218 15 
251 217 15 
251 216 15 
251 215 15 
250 214 15 
250 213 15 
249 212 15 
249 211 15 
249 210 15 
248 209 15 
247 210 15 
246 211 15 
245 212 15 
244 212 15 
243 213 15 
242 214 15 
241 214 15 
240 215 15 
239 216 15 
239 217 15 
239 218 15 
239 219 15 
240 220 15 
240 221 15 
240 222 15 
241 223 15 
241 224 15 
242 225 15 
242 226 15 
242 227 15 
242 228 15 
243 229 15 
243 230 15 
243 231 15 
243 232 15 
244 233 15 
245 234 15 
246 234 15 
247 234 15 
V
Segmentation 3
199 234 15 
200 233 15 
201 233 15 
202 233 15 
203 232 15 
204 231 15 
204 230 15 
204 229 15 
204 228 15 
204 227 15 
203 226 15 
203 225 15 
202 224 15 
202 223 15 
202 222 15 
202 221 15 
202 220 15 
203 219 15 
203 218 15 
203 217 15 
204 216 15 
204 215 15 
204 214 15 
204 213 15 
205 212 15 
204 211 15 
203 211 15 
202 210 15 
201 210 15 
200 210 15 
199 210 15 
198 210 15 
197 210 15 
196 210 15 
195 211 15 
194 212 15 
194 213 15 
194 214 15 
194 215 15 
194 216 15 
193 217 15 
192 218 15 
191 218 15 
190 219 15 
190 220 15 
190 221 15 
190 222 15 
190 223 15 
190 224 15 
190 225 15 
191 226 15 
192 227 15 
193 227 15 
193 228 15 
194 229 15 
194 230 15 
194 231 15 
194 232 15 
195 233 15 
196 234 15 
197 234 15 
198 234 15 
199 234 15 
V
Segmentation 4
284 311 15 
285 310 15 
284 309 15 
283 308 15 
282 309 15 
283 310 15 
284 311 15 
V
Segmentation 0
175 171 16 
176 170 16 
176 169 16 
177 168 16 
177 167 16 
178 166 16 
179 165 16 
180 164 16 
181 163 16 
182 163 16 
